user_id,date,tweet,compound,positive,negative,neutral
17842366.0,Wed Apr 11 19:01:23 +0000 2018,"RT @DeadliestCatch: Rule Number 1: You NEVER yell at the deck boss.

Amiright, @captwildbill? #DeadliestCatch https://t.co/PoDNObDuJ5",0.0772,0.08,0.0,0.92
17842366.0,Wed Apr 11 18:45:38 +0000 2018,RT @AnimalPlanet: Show us your pets! It's #NationalPetDay https://t.co/ewDTkw7k0x,0.0,0.0,0.0,1.0
17842366.0,Wed Apr 11 18:44:45 +0000 2018,"RT @NakedAndAfraid: There's a first time for everything...............😰

We are NOT ready for what's about to happen on this Sunday's #Nake…",0.3612,0.116,0.0,0.884
17842366.0,Wed Apr 11 18:44:30 +0000 2018,"RT @ScienceChannel: We know animals have been to space, but do we know what planet they've been to? @Astro_Mike and friends have the answer…",0.631,0.153,0.0,0.847
17842366.0,Wed Apr 11 17:00:54 +0000 2018,"You can't make new friends without creating a few new enemies.... 

Watch the season premiere of @DeadliestCatch now
https://t.co/9ihzkK82UM",-0.5334,0.0,0.217,0.783
17842366.0,Wed Apr 11 16:26:16 +0000 2018,"Some of the oldest human remains have been found in the caves of Niah National Park. The caves, located in Malaysia… https://t.co/RR1hK9mfIQ",0.0,0.0,0.0,1.0
17842366.0,Wed Apr 11 10:00:12 +0000 2018,Remember the first episode EVER of @NakedAndAfraid ?https://t.co/fkzTudmWZ5,0.0,0.0,0.0,1.0
17842366.0,Wed Apr 11 08:00:08 +0000 2018,"Nothing like sifting for gold in Indian River paydirt!

Watch season 3 of @Gold_Rush now on Discovery GO
https://t.co/cfoN6nNtcP",0.4199,0.141,0.0,0.859
17842366.0,Tue Apr 10 22:30:10 +0000 2018,"Get ready for the 30th anniversary of Shaq week! 

Wait.......🦈?
https://t.co/aI1TyRUOd8",0.4199,0.218,0.0,0.782
17842366.0,Tue Apr 10 22:15:05 +0000 2018,RT @DeadliestCatch: Get ready for the return of #DeadliestCatch by soaking in the entire crab fishing season from t… https://t.co/zf5zjNvSDY,0.3612,0.116,0.0,0.884
17842366.0,Tue Apr 10 21:19:46 +0000 2018,RT @AnimalPlanet: They call him Home Run REMINGTON – a therapy dog helping injured athletes recover ⚾ @UNC https://t.co/wsbLvV2P9L,-0.128,0.116,0.143,0.741
17842366.0,Tue Apr 10 20:55:31 +0000 2018,"RT @DiscoveryIncTV: We’re in NYC with all of our networks today, including @Discovery, @TLC, @HGTV, @FoodNetwork, and @DiscoveryID.  Join u…",0.296,0.104,0.0,0.896
17842366.0,Tue Apr 10 20:55:27 +0000 2018,"@DiscoveryIncTV @TLC @hgtv @FoodNetwork @DiscoveryID Does it get any better than this? @HGTV, @FoodNetwork,… https://t.co/4noCscP00R",0.4404,0.172,0.0,0.828
17842366.0,Tue Apr 10 20:19:30 +0000 2018,RT @JakeVAnderson: Make sure to watch the Bait tonight at 8pm PST and an all new episode of #DeadliestCatch tonight on @Discovery at 9pm! h…,0.3802,0.097,0.0,0.903
17842366.0,Tue Apr 10 18:18:47 +0000 2018,"RT @DeadliestCatch: TWO. HUNDRED. EPISODES. And it's all thanks to YOU, the fans! 

Tune in tonight at 8/7c to chat with the captains durin…",0.4926,0.122,0.0,0.878
17842366.0,Tue Apr 10 18:18:09 +0000 2018,"Adam Savage is coming back to back to host a new ""MythBusters"" spin-off 😍 #MythBusters4eva https://t.co/P4rbMhfCns",-0.4588,0.0,0.188,0.812
17842366.0,Tue Apr 10 16:32:26 +0000 2018,"Looks like a leopard has taken over #TigerTuesday this week……….....👀

📷Photo by Sarosh Lodhi https://t.co/KofHKFxADO",0.3612,0.161,0.0,0.839
