account,text,date,compound,positive,neutral,negative
BBC,RT @BBCLookEast: Well done @simonsmarathon who completed the London Marathon late last night - he is the first man to finish the race using…,2018-04-24 09:02:42,0.2732,0.087,0.913,0.0
BBC,"RT @BBCGetIn: **DEADLINE ALERT**

Just 4 days left to apply for our Communications Trainee Scheme!

Applications close on Thursday 26th Apr…",2018-04-24 08:47:41,0.0,0.0,1.0,0.0
BBC,❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,2018-04-24 08:01:02,0.765,0.306,0.694,0.0
BBC,"🌈👀 Did you know that depending on what language you speak, your eye perceives colours – and the world – differently… https://t.co/Q6Cn2rteK3",2018-04-24 07:29:05,0.0,0.0,1.0,0.0
BBC,"‘I’m determined to prove the terrorists wrong.’

Martin was paralysed in the Manchester Arena attack and is now tra… https://t.co/qTRSdGxBeJ",2018-04-24 07:00:08,-0.7003,0.09,0.639,0.271
BBC,"RT @BBCTwo: It's #ShakespearesBirthday so here's Hamlet's famous ""To be or not to be"" speech, performed by Andrew Scott! 📜🎭🎂 https://t.co/b…",2018-04-23 19:15:23,0.0,0.0,1.0,0.0
BBC,👶💖 The Duke and Duchess of Cambridge introduce their new son to the world. https://t.co/nmrD1axv6Y,2018-04-23 18:53:11,0.0,0.0,1.0,0.0
BBC,✈️ Do you know how to wear an oxygen mask?  https://t.co/pf8lvubtc9,2018-04-23 18:01:04,0.0,0.0,1.0,0.0
BBC,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…,2018-04-23 16:58:47,0.0,0.0,1.0,0.0
BBC,❤️ The Duke of Cambridge has arrived at hospital with Prince George &amp; Princess Charlotte following birth of their b… https://t.co/w0QF6vPprS,2018-04-23 16:23:06,0.0,0.0,1.0,0.0
BBC,"😂 That time the police busted Mary Berry smuggling ingredients into America… 
#TheGNShow https://t.co/slxL3klU3h",2018-04-23 16:01:07,-0.0516,0.16,0.63,0.21
BBC,"How much do you know about England, the English and the frequently odd things they do and eat? Celebrate… https://t.co/zCiIrdYYkW",2018-04-23 15:32:35,-0.3182,0.0,0.892,0.108
BBC,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS",2018-04-23 15:03:01,0.0,0.0,1.0,0.0
BBC,RT @BBCNews: #royalbaby: Formal notice of birth displayed on forecourt of Buckingham Palace https://t.co/jU2MrpGseg https://t.co/wWgoKAeFaJ,2018-04-23 13:53:37,0.0,0.0,1.0,0.0
BBC,🐶❤️ Australian police have praised a dog for remaining with a three-year-old girl as she spent a night lost in bush… https://t.co/oGu1MgHiI0,2018-04-23 13:32:04,0.2263,0.142,0.756,0.102
BBC,"Beth is a trainee nurse about to start working in A&amp;E. 🏥🚑

Can former nurse Una calm her nerves via a hidden earpie… https://t.co/Z1HXesGbkQ",2018-04-23 12:33:00,0.2263,0.097,0.844,0.059
BBC,"👶❤️ It's a boy! 

The Duchess of Cambridge gives birth to her third child, who is fifth in line to throne. 
👉… https://t.co/txzbor7jKG",2018-04-23 12:09:01,0.0,0.0,1.0,0.0
BBC,"Arthur? Albert? Mary? Alice?

As the Duchess of Cambridge goes into labour with her third child, speculation contin… https://t.co/3a65q968kv",2018-04-23 11:27:23,0.0,0.0,1.0,0.0
BBC,"From Cold War spy station to Europe’s largest graffiti gallery.
👉https://t.co/gesQ2io25H https://t.co/7FcEBRJepr",2018-04-23 11:00:19,-0.5994,0.0,0.738,0.262
BBC,"RT @BBC_Culture: Beyond their literary value, do stories have the power to change the world? @clemencybh #100Stories https://t.co/P5tqktMh0…",2018-04-23 10:59:52,0.34,0.124,0.876,0.0
BBC,"RT @BBCOne: Can @nilerogers &amp; Chic condense a lifetime of music into one minute?
#GigInAMinute on #SoundsLikeFridayNight. https://t.co/IUYj…",2018-04-23 09:35:20,0.2732,0.116,0.884,0.0
BBC,RT @bbcthree: This woman will write you a letter when you're going through hard times. https://t.co/A2ZkmvZD9w,2018-04-23 09:34:07,-0.1027,0.0,0.909,0.091
BBC,"RT @BBCBreakfast: We're celebrating 20 years of @carolkirkwood on BBC Breakfast! 🎂🎊
Here are just some of her best bits! 🙈😂 #20yearsofCarol…",2018-04-23 08:32:15,0.8585,0.298,0.702,0.0
BBC,🐮🥛 Is this the future of dairy farming?  https://t.co/goewsyXmgF,2018-04-23 08:00:13,0.0,0.0,1.0,0.0
BBC,"👶❤️ Royal baby on the way!

The Duchess of Cambridge has been admitted to hospital in the early stages of labour wi… https://t.co/FoLkBUkiwB",2018-04-23 07:44:38,0.1759,0.071,0.929,0.0
